epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,584.787,0.48445,0.35303,0.92185,0.99918,1,0.995,0.95066,0.38654,0.26896,0.88582,0.0016766,0.0016766,0.0016766
100,590.469,0.53039,0.38887,0.94477,0.99906,1,0.995,0.93798,0.37222,0.28432,0.87562,0.0016733,0.0016733,0.0016733
101,596.135,0.51833,0.36495,0.92739,0.99901,1,0.995,0.94682,0.3756,0.27801,0.86275,0.00167,0.00167,0.00167
102,601.822,0.45902,0.33904,0.90151,0.99756,0.98485,0.98867,0.94057,0.36751,0.28249,0.87436,0.0016667,0.0016667,0.0016667
103,607.5,0.4988,0.35264,0.93153,0.99852,0.98485,0.99357,0.94396,0.36091,0.28491,0.87568,0.0016634,0.0016634,0.0016634
104,613.165,0.47947,0.34638,0.91181,0.99962,1,0.995,0.9375,0.39612,0.2635,0.87875,0.0016601,0.0016601,0.0016601
105,618.862,0.47575,0.34472,0.90653,0.99895,1,0.995,0.94754,0.36753,0.25337,0.87206,0.0016568,0.0016568,0.0016568
106,624.521,0.49105,0.34891,0.92505,0.99776,1,0.995,0.93899,0.3661,0.25902,0.87988,0.0016535,0.0016535,0.0016535
107,630.229,0.50109,0.33122,0.92196,0.98278,1,0.99485,0.92817,0.38909,0.28211,0.88437,0.0016502,0.0016502,0.0016502
108,636.071,0.50184,0.35683,0.94982,0.99891,1,0.995,0.94822,0.37882,0.26487,0.88297,0.0016469,0.0016469,0.0016469
109,641.836,0.48408,0.35696,0.91025,0.99835,1,0.995,0.94406,0.37277,0.24354,0.88325,0.0016436,0.0016436,0.0016436
110,647.529,0.50694,0.35597,0.92532,0.99901,1,0.995,0.95001,0.36941,0.26482,0.88304,0.0016403,0.0016403,0.0016403
111,653.216,0.50226,0.36017,0.90808,0.99887,1,0.995,0.94854,0.35693,0.26262,0.87729,0.001637,0.001637,0.001637
112,658.886,0.47785,0.34099,0.90515,0.99618,1,0.995,0.9405,0.37263,0.25541,0.87844,0.0016337,0.0016337,0.0016337
113,664.58,0.47964,0.33918,0.90691,0.98467,1,0.995,0.94142,0.39573,0.26192,0.87749,0.0016304,0.0016304,0.0016304
114,670.24,0.5087,0.35915,0.93109,0.98404,1,0.99455,0.9572,0.38629,0.2704,0.87234,0.0016271,0.0016271,0.0016271
115,675.921,0.48581,0.33889,0.93203,0.98697,1,0.995,0.96303,0.37456,0.27355,0.87082,0.0016238,0.0016238,0.0016238
116,681.605,0.46283,0.33543,0.91055,0.99843,1,0.995,0.95817,0.3542,0.27099,0.86749,0.0016205,0.0016205,0.0016205
117,687.271,0.45739,0.32033,0.90698,0.99828,1,0.995,0.95854,0.36079,0.26646,0.86951,0.0016172,0.0016172,0.0016172
118,692.999,0.46731,0.33993,0.89845,0.99652,1,0.995,0.93287,0.41304,0.29782,0.87626,0.0016139,0.0016139,0.0016139
119,698.681,0.48535,0.35525,0.9077,1,0.99717,0.995,0.93932,0.41412,0.30112,0.88134,0.0016106,0.0016106,0.0016106
120,704.361,0.47082,0.3473,0.90007,0.99811,1,0.995,0.95785,0.38857,0.27451,0.88149,0.0016073,0.0016073,0.0016073
121,710.042,0.46673,0.32232,0.90805,0.998,1,0.995,0.95694,0.39302,0.25461,0.88564,0.001604,0.001604,0.001604
122,715.71,0.45979,0.32688,0.90487,0.99855,1,0.995,0.95165,0.36575,0.25396,0.87281,0.0016007,0.0016007,0.0016007
123,721.403,0.45061,0.32715,0.8874,0.99823,0.98485,0.99443,0.94397,0.36952,0.2635,0.87849,0.0015974,0.0015974,0.0015974
124,727.087,0.4715,0.324,0.90505,0.99937,1,0.995,0.95502,0.37746,0.25196,0.87801,0.0015941,0.0015941,0.0015941
125,732.823,0.46152,0.32522,0.90838,0.99894,1,0.995,0.93876,0.37659,0.25303,0.87969,0.0015908,0.0015908,0.0015908
