epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,2704.63,0.90276,0.56724,0.96811,0.90778,0.80995,0.88597,0.63227,0.82557,0.48453,0.9476,0.008119,0.008119,0.008119
116,2727.93,0.89307,0.56247,0.9564,0.90161,0.82664,0.88272,0.63631,0.83018,0.4857,0.95196,0.0081025,0.0081025,0.0081025
117,2751.25,0.88952,0.55412,0.96947,0.89009,0.81194,0.87048,0.63446,0.83993,0.49168,0.95191,0.008086,0.008086,0.008086
118,2776.16,0.89459,0.55058,0.95632,0.85912,0.841,0.88583,0.63972,0.82251,0.48409,0.9481,0.0080695,0.0080695,0.0080695
119,2800.2,0.90776,0.56611,0.96575,0.90968,0.83704,0.88707,0.63487,0.82737,0.49543,0.95407,0.008053,0.008053,0.008053
120,2823.58,0.90502,0.55908,0.9696,0.89282,0.81079,0.87538,0.63312,0.82346,0.48642,0.95085,0.0080365,0.0080365,0.0080365
121,2847.01,0.91634,0.56968,0.96567,0.9194,0.80971,0.89249,0.64884,0.82117,0.48517,0.95414,0.00802,0.00802,0.00802
122,2870.54,0.89831,0.5634,0.96792,0.87117,0.82691,0.88295,0.63573,0.82235,0.48347,0.94832,0.0080035,0.0080035,0.0080035
123,2893.95,0.90062,0.5674,0.96036,0.91603,0.82652,0.88743,0.64334,0.81955,0.47466,0.95083,0.007987,0.007987,0.007987
124,2917.19,0.91782,0.56529,0.96651,0.91234,0.80523,0.87912,0.62713,0.81934,0.48352,0.95085,0.0079705,0.0079705,0.0079705
125,2940.74,0.91978,0.56003,0.97209,0.91654,0.83767,0.89135,0.64245,0.82247,0.48499,0.94784,0.007954,0.007954,0.007954
126,2964.17,0.87606,0.54749,0.95067,0.87929,0.84326,0.88531,0.64662,0.81745,0.48159,0.94571,0.0079375,0.0079375,0.0079375
127,2987.66,0.91904,0.57991,0.96396,0.91989,0.82628,0.88391,0.63629,0.82122,0.48612,0.94675,0.007921,0.007921,0.007921
128,3011.33,0.91034,0.57234,0.97109,0.89411,0.8312,0.88774,0.64402,0.81772,0.4891,0.94571,0.0079045,0.0079045,0.0079045
129,3034.77,0.89092,0.56098,0.95854,0.91327,0.82881,0.89504,0.65107,0.80383,0.47983,0.94301,0.007888,0.007888,0.007888
130,3058.16,0.89173,0.56868,0.95141,0.87886,0.79752,0.88568,0.63126,0.82514,0.48755,0.94876,0.0078715,0.0078715,0.0078715
131,3081.46,0.90407,0.56368,0.95224,0.88736,0.84215,0.89247,0.64002,0.82275,0.46805,0.95644,0.007855,0.007855,0.007855
132,3104.69,0.87571,0.55001,0.95324,0.84926,0.84451,0.8848,0.64547,0.8237,0.48443,0.95142,0.0078385,0.0078385,0.0078385
133,3128.08,0.86442,0.54793,0.95791,0.89597,0.82812,0.88539,0.63277,0.80819,0.47841,0.94331,0.007822,0.007822,0.007822
134,3151.55,0.9199,0.57316,0.97067,0.9174,0.82867,0.88945,0.64789,0.80845,0.47638,0.94116,0.0078055,0.0078055,0.0078055
